#id	warrant0	warrant1	correctLabelW0orW1	reason	claim	debateTitle	debateInfo
18244013_445_A3C9GGDXBZW62D	readers don't need multiple perspectives	readers need multiple perspectives	1	Comments sections permit A reader To analyze many different perspectives in one place	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18693756_24_AE861G0AY5RGT	the majority <unk> gun violence in performed by people who have already been background checked And vetted	the majority <unk> gun violence in performed by people who have not already been background checked And vetted	1	Concealed carry permit holders have already been background checked And vetted for both character And competence	Guns should be permitted on college campuses	Should Guns Be Permitted on College Campuses	Supporters say guns makes campuses safer Opponents question the effect guns have on public safety And academic freedom
18200299_118_A1I4CYG5YDFTYM	one punishment is enough	one punishment is not enough	1	Those that have committed crimes against society should have that seen when competing fairly for jobs with those who did not commit crimes	Jail record should be an employer first impression	Should A Jail Record Be an Employer First Impression	Ban the box
18250168_299_A1I4CYG5YDFTYM	most often these opinions cannot be shared without entering into an ugly And unhealthy debate	most often these opinions can be shared without entering into an ugly And unhealthy debate	1	In America differing opinions are not only allowed but they have value teaching us To compromise for the best results	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
19136054_204_A104V8NZIQFN2F	they are interested in the electoral process	they should not be interested in the electoral process	0	Justices are not prohibited from speaking about topics <unk> interest To them	Supreme court justice can denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18554051_822_A34QZDSTKZ3JO9	the athletes won't get sick going To Brazil	the athletes won't be able To compete if they are sick	0	The Olympics are A dream for many athletes since they train extremely hard	Brazil should not postpone Olympics	Should Brazil Postpone the Olympics	The country is in the midst <unk> A political And economic crisis not To mention A Zika outbreak And the Summer Games are three months away
20932920_284_A104V8NZIQFN2F	students should be taking those classes by choice	students should be taking those classes by force	1	We should be able To speak other languages rather than expect everyone else To speak english	Foreign language classes should be mandatory in college	Should Foreign Language Classes Be Mandatory in College	A Princeton University proposal would require students To study A language other than English even if they are already proficient in A foreign language
18246826_102_AYFOAD75CRBKE	comments devolve into attacks	comments usually don't devolve into attacks	1	Comment sections provide A place for people To have their opinion heard	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18324250_329_APW9F8OTJ4KXO	the debt To society in most cases can never truly be repaid	the debt To society in most cases can truly be repaid	1	Felons should not be denied their right To vote after paying their debt To society And reentering the community	Felons should be allowed To vote	Should Felons Ever Be Allowed To Vote	Laws disenfranchising felons in several states have had A disproportionate effect on african americans
18007196_0_A1I4CYG5YDFTYM	this did not save their souls before they entered heaven	this saved their souls before they entered heaven	0	She didn't even give the dying aspirin meanwhile converting them To Catholicism without their knowledge	Mother Teresa should not be canonized	Should Mother Teresa Be canonized	Given questions about the type <unk> care the Catholic nun provided To the poor is Pope Francis right To make her A saint
18248069_73_A1I4CYG5YDFTYM	people are capable <unk> have conversations without arguing And name calling	people cannot have conversations without arguing And name calling	0	Comment sections provide A voice To thoughts And ideas outside the scope <unk> regular editorial content	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18241716_0_A1I4CYG5YDFTYM	this often results in arguments And nonsense when there is no moderation	this often results in healthy debates And enlightenment when there is moderation	1	Comment sections allow customers To have direct engagement	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18866895_175_AE861G0AY5RGT	an act created by A single person or group is representative <unk> the religion as A whole	an act created by A single person or group isn't representative <unk> the religion as A whole	0	The Orlando gun shooting where <num> gay people were killed are an example <unk> how Christian hate <unk> LGBT people can be comparable To the holocaust	Christians have created A harmful atmosphere for gays	Have Christians Created A Harmful Atmosphere for Gays	church backed efforts To fight <abbv> rights have been blamed for feeding A hateful atmosphere that accommodates attacks on gays
20917193_835_AJNQ2PBD07FKE	the Palestinians will be willing To compromise	the Palestinians will not be willing To compromise	0	If the embassy is moved To Jerusalem the Palestinians will know they need To compromise	The U.S. Embassy should be moved from Tel Aviv To Jerusalem	Should the U.S. Embassy Be Moved From Tel Aviv To Jerusalem	The location has long been A diplomatic thorn in the american israeli relationship
18250276_53_A34QZDSTKZ3JO9	democracy can often fail	democracies don't often fail	1	Comments with good moderation are A part <unk> democracy	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18693252_287_A2D7S8Y2FAUWMC	the primary concern should be the safety <unk> the students not the feelings <unk> the professors	the primary concern should be the feelings <unk> the professors not the safety <unk> the students	1	Many professors would refuse To work they would not condone guns in their classrooms	Guns should not be permitted on college campuses	Should Guns Be Permitted on College Campuses	Supporters say guns makes campuses safer Opponents question the effect guns have on public safety And academic freedom
19121924_82_A34QZDSTKZ3JO9	they are protected while they are citizens	they are protected while they are citizens but not while they are representing an office	0	They are entitled To the protections <unk> the first amendment	Supreme court justice can denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
19119010_298_AE861G0AY5RGT	the court doesn't require dignity	the court requires dignity	1	The dignity <unk> the Court is lessened	Supreme court justice cannot denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18241716_0_A1DJNUJZN8FE7N	direct engagement with customers costs more than it earns	direct engagement with customers earns more than it costs	1	Comment sections allow customers To have direct engagement	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18864173_353_A1I4CYG5YDFTYM	being A gay is not considered sin by Christians	being A gay is considered sin by Christians	1	I find the idea that it is A sin To be born or live A life at all To be preposterous	Christians have created A harmful atmosphere for gays	Have Christians Created A Harmful Atmosphere for Gays	church backed efforts To fight <abbv> rights have been blamed for feeding A hateful atmosphere that accommodates attacks on gays
17140473_90_APW9F8OTJ4KXO	making A fashion statement helps	making A fashion statement hurts	1	A hijab should not be treated as A fashion statement	non muslims hurt women by wearing hijabs	Do non muslims Help or Hurt Women by Wearing Hijabs	Some will wear A headscarf in solidarity with Muslim women Others say that only perpetuates the sexist dogma <unk> conservative clerics
18248824_166_AE861G0AY5RGT	the author <unk> an article does not have A right To be considered more important than A comment	the author <unk> an article has A right To be considered more important than A comment	0	Arguments within the comment section are more important than the name <unk> the authors	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
19639295_283_A3GNQDFPZALU92	unlike most patients who abuse the sites I am the exception	like most patients who use the sites I'm no exception	1	By using information on the medical website while conferring with my doctor I was able To get A more accurate diagnoses And alleviate personal fears	Medical websites are healthful	Are Medical Websites Healthful	Does the internet add To patients knowledge or dangerously misinform them
18246465_747_A34QZDSTKZ3JO9	too many people will be talking at once	only one person can talk at A time	1	People want To discuss issues rather than be told what To think	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
19120405_324_A1CF6U3GF7DZEJ	we are similar To Nazi Germany in some ways	we are not Nazi Germany	1	Nazi Germany is an example <unk> political ideology infecting the judicial system	Supreme court justice cannot denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18554051_43_A34QZDSTKZ3JO9	people will still be able To compete elsewhere	people will not be able To compete elsewhere	1	It unites the countries <unk> Earth by allowing us To compete against each other	Brazil should not postpone Olympics	Should Brazil Postpone the Olympics	The country is in the midst <unk> A political And economic crisis not To mention A Zika outbreak And the Summer Games are three months away
18241716_0_A1HKYY6XI2OHO1	some people like conflict or direct engagement	no one likes conflict or direct engagement	0	Comment sections allow customers To have direct engagement	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
19122484_258_A34QZDSTKZ3JO9	justices do not have A right To free speech	justices have A right To free speech	0	Obviously they are human And have opinions but they should not allow those opinions To enter the public forum	Supreme court justice cannot denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18247132_0_A1DJNUJZN8FE7N	varied opinions cause conflict	varied opinions cause thought	1	Comment sections have varied And valuable opinions	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18546160_70_A1CF6U3GF7DZEJ	citizens feel it differently	citizens feel it the same way	1	Brazil problems won't go away if they postpone the olympics	Brazil should not postpone Olympics	Should Brazil Postpone the Olympics	The country is in the midst <unk> A political And economic crisis not To mention A Zika outbreak And the Summer Games are three months away
18250168_159_A1CF6U3GF7DZEJ	commenters who have responded have done so in fuzzy illogical fashion	commenters who have responded have done so in A structured logical fashion	1	Words matter And people who think differently should be able To respond	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
17760020_14_A1I4CYG5YDFTYM	they do not stand in the way <unk> letting good military forces get To the root <unk> the ISIS problem	they stand in the way <unk> letting good military forces get To the root <unk> the ISIS problem	0	Kurdish fighters are also being targeted by <unk>	Kurds are allies in Syria	Are Kurds Allies or Obstacles in Syria	How can turkish kurdish hostilities be kept from driving the fight against ISIS off track with the Kurds <spch> in de facto alliance with Russia
18693756_293_APW9F8OTJ4KXO	status quo should be codified	status quo should be banned	0	Guns are already on college campuses	Guns should be permitted on college campuses	Should Guns Be Permitted on College Campuses	Supporters say guns makes campuses safer Opponents question the effect guns have on public safety And academic freedom
18248396_0_A1HKYY6XI2OHO1	there are also lots <unk> people who don't abuse the privilege <unk> commenting	there are lots <unk> people who abuse the privilege <unk> commenting	1	When there are no moderators And commentators are anonymous they tend To abuse the privileged <unk> commenting	Comment sections have failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18301753_0_A34QZDSTKZ3JO9	not every felon is reformed	many felons are reformed	1	While not every person who has served A jail sentence has reformed I believe many realize the wrong they have done And strive To be better	Felons should be allowed To vote	Should Felons Ever Be Allowed To Vote	Laws disenfranchising felons in several states have had A disproportionate effect on african americans
18246928_0_APW9F8OTJ4KXO	many sites do not have proper moderation And therefore end up overrun by trollish comments	many sites have proper moderation And therefore do not end up overrun by trollish comments	1	When comments are moderated it is appreciated by people like me	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
17145000_293_A34QZDSTKZ3JO9	more people wearing them would not lessen the disrespect	more people wearing them would lessen the disrespect	0	Hijabs are A disrespectful thing for women	non muslims hurt women by wearing hijabs	Do non muslims Help or Hurt Women by Wearing Hijabs	Some will wear A headscarf in solidarity with Muslim women Others say that only perpetuates the sexist dogma <unk> conservative clerics
18249031_619_A1CF6U3GF7DZEJ	these corrections are usually noticed And have successfully changed opinions	these corrections have usually gone unnoticed or have failed To change opinions	0	Many editorials are wrong or distorted And their claims are corrected in the comments	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18038746_0_A104V8NZIQFN2F	NATO is an organization that routinely exposes violations <unk> civil rights	NATO is an organization that routinely violates civil rights	0	Erdogan has A history or repressing civil rights And violence	Turkey doesn't belong To NATO	Does Turkey Still Belong in NATO	Given President Erdogan record on human rights And how his focus on the Kurdish minority has interfered with his fight against ISIS is he A reliable ally
19642659_215_A104V8NZIQFN2F	A little information solves A lot <unk> problems	A little information causes A lot <unk> problems	0	It is very nice To have the information easily available	Medical websites are healthful	Are Medical Websites Healthful	Does the internet add To patients knowledge or dangerously misinform them
19124082_185_APW9F8OTJ4KXO	we are watching history unfold right now	we are not watching history unfold right now	0	If we are going To make our own history sometimes decorum protocol And tradition have To be set aside	Supreme court justice can denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18362833_8_A1I4CYG5YDFTYM	they are partnering with other companies And not completely taking over the market	they are partnering with other companies And becoming bigger And bigger	0	Google is simply A wildly successful American company	Google is not A harmful monopoly	Is Google A Harmful Monopoly	European regulators say the company Android phone blocks rival services
18321898_210_A34QZDSTKZ3JO9	many solid citizens are bad people anyway	solid citizens are not bad people	1	Felons should be able To have their full citizenship rights restored if they can demonstrate they are A solid citizen	Felons should be allowed To vote	Should Felons Ever Be Allowed To Vote	Laws disenfranchising felons in several states have had A disproportionate effect on african americans
17141178_258_A3C9GGDXBZW62D	people should be uncomfortable	people should not be uncomfortable	1	Public displays <unk> religion make others uncomfortable	non muslims hurt women by wearing hijabs	Do non muslims Help or Hurt Women by Wearing Hijabs	Some will wear A headscarf in solidarity with Muslim women Others say that only perpetuates the sexist dogma <unk> conservative clerics
18432065_0_A1DJNUJZN8FE7N	doctors have enough time To learn various things	doctors have so little time To learn various things	0	There are many treatments that doctors need To learn To help people in pain	Opioid training should be mandatory	Should Opioid Training for Doctors Be Mandatory	The American Medical Association says no but could it help stem the rise <unk> overdose deaths involving prescription drugs
18247268_242_AE861G0AY5RGT	the abuse <unk> posters overshadows any good the constructive comments provide	the abuse <unk> posters doesn't overshadow any good the constructive comments provide	1	Comment sections are an important place for discussion even if some posters abuse them	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18249187_90_A1LZPWVZRTUZD0	most comment sections are well moderated	no comment sections are well moderated	0	Well moderated comments can be more interesting And useful than the article	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
17412381_709_A34QZDSTKZ3JO9	most ADHD kids were already diagnosed	some ADHD kids are undiagnosed	0	If ADHD children were undiagnosed And unmedicated I do not believe they would succeed in school	The <abbv> diagnosis is helping kids	Is the <abbv> Diagnosis Helping or Hurting Kids	Some say the criteria for medication And disability support is too subjective
19123469_286_A247LJDZOGXJK6	it is her responsibility as A citizen To mitigate danger	it is not her responsibility To mitigate danger	0	Justice Ginsberg knows it is dangerous To remain silent	Supreme court justice can denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
19637475_396_A2D7S8Y2FAUWMC	medical websites cause patients To think they know more than the doctors	medical websites allow patients To learn more without the doctors	1	The patients And their family know when there is something wrong even though doctors know A lot	Medical websites are healthful	Are Medical Websites Healthful	Does the internet add To patients knowledge or dangerously misinform them
18653311_204_AJNQ2PBD07FKE	it appeared no one was enjoying the park	it appeared everyone was enjoying the park	0	There were so many people it was as crowded as being in A shopping mall	Overcrowded national parks should have restricted access	Should Overcrowded National Parks Have Restricted Access	Tourism is degrading popular natural sites with increased crowds pollution And conflicts between humans And wildlife
18244954_0_A1DJNUJZN8FE7N	vulgarity is never fun To read	vulgarity is always fun To read	0	Comments sections when unfiltered will always be vulgar nasty And hate filled	Comment sections have failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18369303_182_A1CF6U3GF7DZEJ	that is the very nature <unk> capitalism	that is not the very nature <unk> capitalism	1	The creators <unk> google apple And facebook deserve money for their creations but they are raising the bar too high for competition	Google is A harmful monopoly	Is Google A Harmful Monopoly	European regulators say the company Android phone blocks rival services
18874843_469_A3PILUAB7LZGWQ	Christians have A live And let live policy	Christians do not have A live And let live policy	1	You can't preach freedom while limiting the freedom <unk> others	Christians have created A harmful atmosphere for gays	Have Christians Created A Harmful Atmosphere for Gays	church backed efforts To fight <abbv> rights have been blamed for feeding A hateful atmosphere that accommodates attacks on gays
18249225_121_A34QZDSTKZ3JO9	people in the comment sections look for lively disagreements	people in the comment sections don't look for lively disagreements	1	Comments sections are full <unk> partisan individuals looking for A fight not A conversation	Comment sections have failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18007465_155_A3PILUAB7LZGWQ	raising people from poverty is A requirement for canonization	raising people from poverty is not A requirement for canonization	0	Her charities didn't raise people out <unk> poverty they remained impoverished	Mother Teresa should not be canonized	Should Mother Teresa Be canonized	Given questions about the type <unk> care the Catholic nun provided To the poor is Pope Francis right To make her A saint
18243112_0_A34QZDSTKZ3JO9	there are not many opinions in the comment section	there are many opinions available in the comment section	1	Comments sections are necessary To give A wide variety <unk> opinions	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18244616_0_A104V8NZIQFN2F	it is easy To point out professional bias	it is best To accept professional bias	0	Biased reporting is called out in the comment section	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18336931_0_AYFOAD75CRBKE	marijuana is now prescribed	marijuana is never prescribed	1	Prescriptions drugs are more likely To be A gateway drug	Marijuana is not A gateway drug	Is Marijuana A Gateway Drug	Does using marijuana lead To the use <unk> more dangerous drugs making it too dangerous To legalize
18249368_164_A34QZDSTKZ3JO9	consensus And compromise make one weaker	consensus And compromise make one stronger	1	Comment sections allow for understanding <unk> other views And reaching A consensus And compromise just like in any democracy	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18553740_193_AYFOAD75CRBKE	this epidemic has A little relevance To the games	this epidemic has A huge relevance To the games	1	There is an epidemic in <unk>	Brazil should postpone Olympics	Should Brazil Postpone the Olympics	The country is in the midst <unk> A political And economic crisis not To mention A Zika outbreak And the Summer Games are three months away
18362833_247_A1CF6U3GF7DZEJ	they can opt out from being indexed by their search engine	they cannot opt out from being indexed by their search engine	0	People can choose not To use google	Google is not A harmful monopoly	Is Google A Harmful Monopoly	European regulators say the company Android phone blocks rival services
18243112_160_A1I4CYG5YDFTYM	these views are always welcome or agreeable To mainstream society	these views are not always welcome or agreeable To mainstream society	0	Comment sections allow other views To be heard	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18244743_509_A104V8NZIQFN2F	the best times <unk> my life were as A schoolyard bully	the worst times <unk> my life were as A schoolyard bully	1	Comment sections have devolved into anonymous school yard bullying offering no debate or discussion	Comment sections have failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18246850_640_A104V8NZIQFN2F	I am not voting for Hillary	I am voting for Hillary	0	The comments are in being manufactured in favor <unk> HC To control the election	Comment sections have failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
17136757_110_A1HKYY6XI2OHO1	the best way To defeat sexism is To remove it	the best way To defeat sexism is To embrace it	0	Hijabs are A sexist garment And should not be used as A symbol for anything	non muslims hurt women by wearing hijabs	Do non muslims Help or Hurt Women by Wearing Hijabs	Some will wear A headscarf in solidarity with Muslim women Others say that only perpetuates the sexist dogma <unk> conservative clerics
18866076_35_AYFOAD75CRBKE	Christian views are much different	Christian views aren't much different	0	Muslim countries arrest or execute gays	Christians have not created A harmful atmosphere for gays	Have Christians Created A Harmful Atmosphere for Gays	church backed efforts To fight <abbv> rights have been blamed for feeding A hateful atmosphere that accommodates attacks on gays
20914539_302_A2JKETV64OU7DY	Palestinian violence has lessened recently	Palestinian violence has not lessened recently anyway	0	This move will not solve anything And will lead To Palestinian violence	The U.S. Embassy should not be moved from Tel Aviv To Jerusalem	Should the U.S. Embassy Be Moved From Tel Aviv To Jerusalem	The location has long been A diplomatic thorn in the american israeli relationship
17965626_211_A34QZDSTKZ3JO9	knowing history means that we won't repeat it	knowing history doesn't mean that we will repeat it	0	College students have the best chance <unk> knowing history	College students votes do matter in an election	Do College Students Votes Really Matter in an Election	Young people are often politically active but their electoral power is unproven
18044030_131_A1OYYWJ2B7OQTD	the US is now relying on Turkey in the fight against ISIS	the US is not even relying on Turkey in the fight against ISIS	1	Turkey poor record on human rights should not be A NATO member as it does not follow the principle <unk> <unk>	Turkey doesn't belong To NATO	Does Turkey Still Belong in NATO	Given President Erdogan record on human rights And how his focus on the Kurdish minority has interfered with his fight against ISIS is he A reliable ally
19124980_363_A104V8NZIQFN2F	Trump is not A threat To American values	Trump is A threat To American values	1	Sometimes the threat To American values justifies speaking out	Supreme court justice can denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18199552_137_A104V8NZIQFN2F	sometimes people are forced To commit A crime	nobody forced someone To commit A crime	0	Too many people would prefer To push individuals with A criminal record <unk> over the proverbial edge instead <unk> giving them A helping hand	Jail record should not be an employer first impression	Should A Jail Record Be an Employer First Impression	Ban the box
18250327_695_A1CF6U3GF7DZEJ	usually there is A lot To learn	usually there is not much To learn	0	People can learn A lot from reading the comments	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18244743_0_A26FL95GUJEGYE	other people stoped commenting too	other people still comment	0	I recently stopped contributing To the comment section <unk> my local newspaper	Comment sections have failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
19125637_0_A34QZDSTKZ3JO9	justices won't remain unbiased	justices will remain unbiased	0	Although they are human justices must make every effort To remain unbiased	Supreme court justice cannot denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18246375_133_A3C9GGDXBZW62D	nobody wants To hear new insight on topics	everyone needs To hear new insight on topics	1	Comments from individuals And their viewpoints has brought new insight To topics	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18432065_0_A34QZDSTKZ3JO9	learning is most effective when not enforced	learning is most effective when enforced	1	There are many treatments that doctors need To learn To help people in pain	Opioid training should be mandatory	Should Opioid Training for Doctors Be Mandatory	The American Medical Association says no but could it help stem the rise <unk> overdose deaths involving prescription drugs
20920593_125_AYFOAD75CRBKE	moving will not make A statement	moving will make A statement	1	Moving the embassy will tough things off in the world.	The U.S. Embassy should not be moved from Tel Aviv To Jerusalem	Should the U.S. Embassy Be Moved From Tel Aviv To Jerusalem	The location has long been A diplomatic thorn in the american israeli relationship
19129394_130_A34QZDSTKZ3JO9	they should speak up only positive opinions	they can speak up any opinions	1	It is important for Americans To hear the opinions <unk> Supreme Court Justices on political events	Supreme court justice can denounce A candidate	Can A Supreme Court Justice Denounce A Candidate	Is it ever appropriate or ethical for A justice To announce his or her preference in A presidential election
18319561_304_A34QZDSTKZ3JO9	education And employment doesn't make society better	education And employment make society better	1	Education And employment would become more important for felons if they could vote	Felons should be allowed To vote	Should Felons Ever Be Allowed To Vote	Laws disenfranchising felons in several states have had A disproportionate effect on african americans
20922649_353_A34QZDSTKZ3JO9	learning A language in college is more easily done than experiencing the culture	assimilating A culture should be done with the culture	0	Learning A language allows you To assimilate A culture in A way not possible by other methods	Foreign language classes should be mandatory in college	Should Foreign Language Classes Be Mandatory in College	A Princeton University proposal would require students To study A language other than English even if they are already proficient in A foreign language
18007196_0_A104V8NZIQFN2F	she didn't really save their souls by converting them	she saved their souls by converting them	0	She didn't even give the dying aspirin meanwhile converting them To Catholicism without their knowledge	Mother Teresa should not be canonized	Should Mother Teresa Be canonized	Given questions about the type <unk> care the Catholic nun provided To the poor is Pope Francis right To make her A saint
19637475_0_A3C9GGDXBZW62D	there are also many more cases where internet research has put people in danger	there are very few cases where internet research has put people in danger	1	There are cases where internet research on medical websites improved condition or saved lives	Medical websites are healthful	Are Medical Websites Healthful	Does the internet add To patients knowledge or dangerously misinform them
18251910_187_A1CF6U3GF7DZEJ	most <unk> these perspectives are lunatic	most <unk> these perspectives are different than other people views	1	They provide other peoples perspectives on topics	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18243112_160_A1J0GU26323WVA	stubborness is not A virtue	stubborness is A virtue	0	Comment sections allow other views To be heard	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
18250327_561_AE861G0AY5RGT	enjoyment was never the purpose <unk> the comment sections	enjoyment was the purpose <unk> the comment sections	1	I enjoy the NYT comments	Comment sections have not failed	Have Comment Sections Failed	In recent years many media companies have disabled them because <unk> widespread abuse And obscenity
