#id	warrant0	warrant1	correctLabelW0orW1	reason	claim	debateTitle	debateInfo
11965227_391_A3TKD7EJ6BM0M5	A dangerous market deters children from getting involved	A regulated market deters children from getting involved	1	A regulated market has replaced an unregulated And dangerous black market	Colorado didn't go too far with pot	Did Colorado Go Too Far With Pot	Was the move To legalize marijuana done too quickly Do changes need To be made To their approach
9952573_220_A1HKYY6XI2OHO1	no one goes out To eat if they want control over what they're shoving into their mouth	people go out To eat when they want control over what they're shoving into their mouth	1	Salt shakers permit diners To control the amount <unk> salt in their food	Salt should have A place at the table	Should Salt Have A Place at the Table	More restaurants have been doing without salt shakers Some chefs say that sensible Some diners find it annoying
7545952_11_A1CF6U3GF7DZEJ	I die A little but still don't mind bad tv	I mind watching bad tv	1	Reality shows cause me To die A little whenever I see them advertised even though I have watched them at times	Reality shows are worse than other TV	Are Reality Shows Worse Than Other TV	Is A bad reality show worse than A bad sit com Is A compelling one less important than A compelling scripted drama
8832426_496_A3C9GGDXBZW62D	we need athletes To be trained for professional teams	we do not need athletes To be trained for professional teams	1	Intramural And interscholastic have A place but not college sports which just train athletes for professional teams	Drop sports program in undergraduate schools	Dropping the Ball	Should more undergraduate schools follow in the footsteps <unk> Spelman College And consider dropping intercollegiate sports programs
10346152_0_A2JKETV64OU7DY	police officers have no right To privacy in many situations	police officers also have the right To privacy in many situations	0	Cameras should monitor police officers <num>	Police officers should be required To wear cameras	If Police Encounters Were Filmed	Should police officers be required To wear cameras that record their interactions with the public
3639835_338_A3PILUAB7LZGWQ	money will be saved all the way around	money will not be saved all the way around	1	The only interest <unk> the private sector is the bottom line profits	Privatization is A bad deal for cities And states	Is Privatization A Bad Deal for Cities And States	To save money New York is turning the clock back on outsourcing by replacing private contractors with city workers
6129077_395_A34QZDSTKZ3JO9	it A good diet that shouldn't have To be helped with vitamins	A good diet shouldn't have To be helped with vitamins	0	Vegan options like juices And replacement items are enriched with vitamins	Veganism is good for everyone	Is Veganism Good For Everyone	Maybe some <unk> us simply weren't built To be vegans Is the diet good for everyone
10951533_475_A1I4CYG5YDFTYM	this large economy provides boosts for the entire country economy	this large economy doesn't provide boosts for the entire country economy	1	They operate in such A large economy that it makes it almost impossible for smaller banks To succeed	Big banks are out <unk> control	Are Big Banks Out <unk> Control	Does the lack <unk> legal compliance that have cost banks billions in fines show that some have gotten too big To manage properly
4583769_0_AE861G0AY5RGT	arms sold To Taiwan are not used for defensive but offensive purposes	arms sold To Taiwan are not used for offensive but defensive purposes	1	There is no reason we shouldn't sell reasonable defensive arms To <unk>	Keep selling arms To Taiwan	Should the U.S. Keep Selling Arms To Taiwan	The U.S. approved A <num> billion arms sale To Taiwan over China protests What are the consequences
3176054_290_A1DJNUJZN8FE7N	the two can so easily co exist	the two hardly co exist	1	It undermines public education And emphasizes religious values over facts even though the two can easily co exist	Home schoolers do not deserve A tax break	Do Home Schoolers Deserve A Tax Break	Some conservatives want A federal credit for families who teach their children at home What are its chances in the new Congress
7447002_600_AB98SGS280TY5	overdramatizing simple events And names is in A way more entertaining	overdramatizing simple events And names is in no way more entertaining	1	Reality shows fake misery drama And embarrassment And pretend as though it is real	Reality shows are worse than other TV	Are Reality Shows Worse Than Other TV	Is A bad reality show worse than A bad sit com Is A compelling one less important than A compelling scripted drama
7951527_155_A1I4CYG5YDFTYM	this can be found in other buildings And online venues	this can't be found in other buildings And online venues	1	Libraries provide A venue for A number <unk> desirable individual And shared life enhancing activities	We need libraries	Do We Still Need Libraries	What are libraries for And how should they evolve
9831390_0_A104V8NZIQFN2F	it is NATO fight And the US belongs To NATO	it is not NATO fight And the US belongs To NATO	1	Not our fight	US should not attack Syria	Is an Attack on Syria Justified	Should the United States And its allies launch air strikes against Syria in response To the Assad regime reported use <unk> chemical weapons
11894913_488_AA7ASGQEOMKEZ	A solution would encourage the search for A better solution later	A solution better than nothing would discourage the search for A better solution later	0	A ratings solution while messy would be better than nothing	Government should grade colleges	Should the Government Grade Colleges	Should the government rate colleges To hold them accountable for graduation rates student debt And access for the poor And minorities
2700850_221_AJNQ2PBD07FKE	They can learn critical thinking In psychology courses	They can learn critical thinking In humanities courses	1	Liberal arts provide knowledge To learn creative thinking reading And writing which are important To many career paths	Colleges need humanities programs	Do Colleges Need French Departments	With humanities programs being cut at many universities what do students stand To lose
7957857_673_A34QZDSTKZ3JO9	most people have internet	few people have internet	1	Libraries provide internet for those that need it To do homework find employment And file taxes	We need libraries	Do We Still Need Libraries	What are libraries for And how should they evolve
3122593_214_APW9F8OTJ4KXO	the bike lanes are not designed well enough To really serve their purpose And encourage biking	the bike lanes are designed well enough To really serve their purpose And encourage biking	1	One can avoid And improve heavy traffic by using public transportation or biking	New York bike lanes are working	Are New York Bike Lanes Working	Mayor Koch bicycle network died quickly Mayor Bloomberg is remaking the streets <unk> the city What is the verdict so far
8389640_328_A247LJDZOGXJK6	parents don't need To come first for their children	parents need To come first for their children	1	This will cause more government interference in peoples lives relegating parents To A secondary role	Public preschool is not A smart investment	Is Public Preschool A Smart Investment	Would quality child care that included A preschool curriculum be A better national goal
7046664_196_A247LJDZOGXJK6	it is bad To focus on things that are not relevant	it is fun To focus on things that are not relevant	0	The spouse opinion may not be relevant To the campaign <unk> the president	We don't need To hear from candidate spouse	Do We Need To Hear From the Candidate Spouse	What role should spouses <unk> the nominees play at conventions Is it appropriate or useful for them To give speeches
2653827_630_A1CF6U3GF7DZEJ	nobody can defeat the oil interests	together everybody can defeat the oil interests	1	Having such high interest in A foundling industry with the economy struggling is proof <unk> the electric cars viability	Electric cars will succeed	Will Electric Cars Finally Succeed	Are plug in cars the future or will high cost And other technologies eclipse their promise
11670926_107_A1DJNUJZN8FE7N	we don't want better solutions	we want better solutions	1	If race is such A big part <unk> the economic hardships And the reasons people are denied opportunities then economic based actions would be A better solution	Affirmative actions should be based on income	Should Affirmative Action Be Based on Income	Will the Supreme Court decision on race based preferences push colleges To resort To less effective methods To promote To diversity
10228010_160_A1HKYY6XI2OHO1	short term fixes require much effort	short term fixes require little effort	0	They are short term fix that quickly fades	Casinos are too much <unk> A gamble	Are Casinos Too Much <unk> A Gamble	Do the economic And fiscal benefits <unk> casinos outweigh their social And economic costs
5448130_383_A104V8NZIQFN2F	college students need To see how the real world is going To be	college students do not need To see how the real world is going To be	1	Internships are abused by employers And they should be monitored for misuse	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students	Should the government get tough To protect unpaid interns or are internships A win win
7441792_159_APW9F8OTJ4KXO	other shows are held accountable via ratings And reviews when they cross the line And reality shows do not face the same consequences	other shows are held accountable via ratings And reviews when they cross the line reality shows face the same consequences	0	Criticism needs To be strongly raised when A reality show is sexist racist or misogynistic	Reality shows are worse than other TV	Are Reality Shows Worse Than Other TV	Is A bad reality show worse than A bad sit com Is A compelling one less important than A compelling scripted drama
12629542_220_A1CF6U3GF7DZEJ	we need the islamists as scapegoats To unify the country	we do not need the islamists as scapegoats To unify the country	1	Working with Assad will help defeat radical islamists	The U.S. should work with Assad To fight ISIS	Should the U.S. Work With Assad To Fight ISIS	Is the militant group such A threat To the United States that working with the despised Syrian dictator would be in the national interest
3647415_356_A3TKD7EJ6BM0M5	cost saving methods make education available To everyone	cost saving methods can't make education available To everyone	1	Online courses should only be used as A low quality cost savings measure	Online classes are not the best way To teach	Can Young Students Learn From Online Classes	Online courses are increasingly common in high schools And middle schools Is this the best way To teach that age group
11163402_303_A34QZDSTKZ3JO9	people want the police To know their information	people don't want the police To know their information	0	Giving all immigrants ID cards would allow police To get information about people from their home country	All immigrants should get ID cards	Should All Immigrants Get ID Cards	Should cities issue identification for anyone who has no passport or driver license even if they are not in the country legally
4803078_343_A1DJNUJZN8FE7N	I believe the Euro cannot handle it	I believe the Euro can handle it	0	Greece cannot support its own economy And is bringing the Euro down	Greece will destroy the Euro Zone	Will Greece Destroy the Euro Zone	The collapse <unk> the Papandreou government may undo European efforts To restructure debt And hold the union together
6210543_90_A3TKD7EJ6BM0M5	we can't have citizens being loyal To their home country	we can have citizens being loyal To their home country	1	America has more opportunity but people are still loyal To their homes	Dual citizenship should be allowed	Can Dual Citizens Be Good Americans	Should dual citizenship be allowed The pros And cons <unk> pledging allegiance To more than one country
8892337_0_AA7ASGQEOMKEZ	facts And actual use are more important than base sentimentality	facts And actual use are less important than base sentimentality	1	I have poor handwriting And mainly use technology but cursive writing still feels important To me	Students should be taught cursive	Is Cursive Dead	New public school curriculum standards in the U.S. do not require the teaching <unk> cursive But should students be taught it anyway
12628825_223_A1DJNUJZN8FE7N	Assad is half Kurdish on his mother side	Assad is only half Kurdish on his mother side And not A true Kurd	1	The U.S. should support the Kurds only	The U.S. should not work with Assad To fight ISIS	Should the U.S. Work With Assad To Fight ISIS	Is the militant group such A threat To the United States that working with the despised Syrian dictator would be in the national interest
7951620_161_A1I4CYG5YDFTYM	there are regular city meetings To bring the community together as well as numerous events	there are not regular city meetings To bring the community together nor are there numerous events	1	The library brings community together as A center for development	We need libraries	Do We Still Need Libraries	What are libraries for And how should they evolve
10944255_438_A1DJNUJZN8FE7N	they seem To be regulating the government well enough	they don't seem To be regulating themselves well enough	1	The government is regulated by banks And corporations instead <unk> governments actually regulating banks	Big banks are out <unk> control	Are Big Banks Out <unk> Control	Does the lack <unk> legal compliance that have cost banks billions in fines show that some have gotten too big To manage properly
7951577_328_A1I4CYG5YDFTYM	churches And other buildings offer the same things And the internet is full <unk> free information	churches And other buildings don't offer the same things And the internet is full <unk> free information	1	My library has many kinds <unk> learning available And provides A community space for everyone which I love	We need libraries	Do We Still Need Libraries	What are libraries for And how should they evolve
5449342_67_A1HKYY6XI2OHO1	we don't need To keep some groups in their place socially	we should keep some groups in their place socially	0	Social mobility is stifled by unpaid internships	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students	Should the government get tough To protect unpaid interns or are internships A win win
7528221_101_A104V8NZIQFN2F	there is A way locals can do everything	there is no way locals can do everything	0	Disasters are locally handled by officials And neighbors	We don't need FEMA	Do We Really Need FEMA	Should the states or private companies take over FEMA responsibilities for emergency response
10100991_0_A104V8NZIQFN2F	I detest high deductibles because I often use my insurance	I prefer high deductibles because I don't use my insurance	0	Obamacare used low rates as A shell game To hide high deductibles And co pays	Obamacare is not working	Is Obamacare Working	The law is starting To take effect Were the dire predictions correct or is it lowering costs And expanding access
5445948_0_A1I4CYG5YDFTYM	it gives you fear <unk> losing your job	it gives training on the job while not fearing losing your job	0	Unpaid interns are not just looking To gain experience	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students	Should the government get tough To protect unpaid interns or are internships A win win
9312264_156_A1I4CYG5YDFTYM	this is fair because people will not be too picky or judgmental To offer A fair tip	this is unfair because people could be too picky or judgmental To offer A fair tip	0	Diners may not be able To select the server but they can compensate them according To their service	To tip	To Tip or Not To Tip	Should restaurants do away with tipping
5612224_338_A1CF6U3GF7DZEJ	common sense has been in short supply since Eve	common sense has not been in short supply since Eve	1	People today lack common sense that cannot be taught	People are getting dumber	Are People Getting Dumber	Sometimes when you turn on the TV it hard not To wonder Is humanity devolving
5518992_364_A34QZDSTKZ3JO9	even people without children pay the taxes	even though people without children pay the taxes too	1	They have paid for the right through taxes And deserve the chance To further their athletic abilities	home schoolers should play for high school teams	Should home schoolers Play for High School Teams	home schoolers may not want their children in the classroom but they'd like To see them on the football field Is that their right
7952064_230_A34QZDSTKZ3JO9	people don't need To be social To read	some people need To be social To read	1	Some people like A social place To read	We need libraries	Do We Still Need Libraries	What are libraries for And how should they evolve
6032130_73_A1I4CYG5YDFTYM	there is A large supply <unk> information available online that anyone And everyone can access	there isn't A large supply <unk> information available online that anyone And everyone can access	1	Some kids are not taught by parents how To cook And many schools have done away with home economics in favor <unk> science And math	We need more advice about eating well	Do We Need More Advice About Eating Well	Maybe Americans would be healthier if we understood nutrition better Or maybe we know enough And eat poorly for other reasons
9863387_192_APW9F8OTJ4KXO	living on campus provides experience that allows for social And personal growth that just isn't obtained by living off campus	living on campus doesn't provide any additional experience that allows for social And personal growth	1	Most Americans live within commuting distance <unk> universities	Students should live off campus	Should Students Live on Campus or Off	Is living in A dormitory worth the expense Does living elsewhere mean missing out on the college experience
11526420_122_APW9F8OTJ4KXO	apps are dependable And the best course <unk> action is not To have A stenographer with an app used as backup	apps alone are not dependable And the best course <unk> action is To have A stenographer with an app used as backup	0	Stenographers work can be put into an app	Court stenographers are not necessary	Are Court Stenographers Necessary	After A New York court reporter left behind an incomplete record some are asking whether it still makes sense To use stenographers in legal proceedings
12408129_0_AE861G0AY5RGT	the residents <unk> the Broken windows policing feel their quality <unk> life is improving	the residents <unk> the Broken windows policing feel their quality <unk> life is being lowered	0	Broken windows policing saves money And increases quality <unk> life A powerful achievement	Strictly enforcing minor violations deter more serious crime	Is Broken Windows A Broken Policy for Police	Does strictly enforcing minor violations deter more serious crime or simply harass And antagonize residents <unk> high crime neighborhoods
9830834_412_APW9F8OTJ4KXO	it is the place <unk> the US To be the watchdog <unk> the world when plenty <unk> our own are being mistreated	it is not the place <unk> the US To be the watchdog <unk> the world when plenty <unk> our own are being mistreated	0	Syria has hurt its own people And it should be addressed	US should attack Syria	Is an Attack on Syria Justified	Should the United States And its allies launch air strikes against Syria in response To the Assad regime reported use <unk> chemical weapons
8841900_282_A1CF6U3GF7DZEJ	NATO only looks good on paper	NATO looks good on paper	0	NATO is an organization without A purpose	We should disband NATO	Has NATO outlived Its Usefulness	With the Soviet Union gone And austerity challenging security should we disband NATO
8834740_580_A1HKYY6XI2OHO1	high tuition doesn't always mean more money To pay professors	high tuition means more money To pay professors especially ones using Crowdsource platforms To do research	0	College sports make tuition higher	Drop sports program in undergraduate schools	Dropping the Ball	Should more undergraduate schools follow in the footsteps <unk> Spelman College And consider dropping intercollegiate sports programs
5448130_383_AB98SGS280TY5	Unpaid internships need To be regulated	Unpaid internships are insufficiently regulated	1	Internships are abused by employers And they should be monitored for misuse	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students	Should the government get tough To protect unpaid interns or are internships A win win
10338783_127_A34QZDSTKZ3JO9	everyone lies at times	officers lie at times	1	Police officers are occasionally untruthful or falsify evidence	Police officers should be required To wear cameras	If Police Encounters Were Filmed	Should police officers be required To wear cameras that record their interactions with the public
4062498_218_A247LJDZOGXJK6	the internet offers teachers all the resources they could need	the internet doesn't offer teachers all the resources they could need	1	Librarians ensure teachers have the necessary resources	School librarians are not expendable	Are School Librarians Expendable	States And cities are under severe budget constraints They are turning To the library
5907773_300_A1DJNUJZN8FE7N	wasting money is A great way To help the economy	wasting money is A great way To hurt the economy	1	Hosting the Olympics is A waste <unk> money	Olympics are more trouble	Are the Olympics More Trouble Than They're Worth	London And Rio de Janeiro saw the Games as an opportunity But will the cities change for the better And at what cost
12002102_0_AD8UJKT5HYGNJ	A business shouldn't worry their employees becoming their next competitor	A business should worry their employees becoming their next competitor	0	It is unsupportable for companies To suppress employees future career options	Businesses should not be allowed To have new employees sign noncompete deals	When Companies Close Doors To the Future	Should businesses be allowed To have new employees sign noncompete deals agreeing To not To work for competitors
12536410_143_AE861G0AY5RGT	there is no innovation in <num> d printing since it unsustainable	there is much innovation in <num> d printing And it is sustainable	1	Economic growth needs innovation	<num> d printing will change the world	Will <num> d Printing Change the World	For all the hype over three dimensional printing it still unclear exactly how And when it will have an impact on our daily lives
9309004_185_A2QVMCGDLTWV9	society needs rank And file workers more than entrepreneurs	society needs entrepreneurs more than rank And file workers	1	Tipping rewards entrepreneurial spirit And hard work	To tip	To Tip or Not To Tip	Should restaurants do away with tipping
11891193_331_A3TKD7EJ6BM0M5	schools won't likely cheat or falsify information	schools will likely cheat or falsify information	0	Governments grading colleges will force colleges To be concerned with student outcome	Government should grade colleges	Should the Government Grade Colleges	Should the government rate colleges To hold them accountable for graduation rates student debt And access for the poor And minorities
2700020_649_A34QZDSTKZ3JO9	more people now understand other cultures	more people now fail To understand other cultures	1	Understanding other culture is more important now than ever before	Colleges need humanities programs	Do Colleges Need French Departments	With humanities programs being cut at many universities what do students stand To lose
11970354_200_AYFOAD75CRBKE	the choices affect A wide demographic	the choices don't affect A wide demographic	1	Adults should be able To make their own choices	Colorado didn't go too far with pot	Did Colorado Go Too Far With Pot	Was the move To legalize marijuana done too quickly Do changes need To be made To their approach
5612280_615_A34QZDSTKZ3JO9	people can catch the errors in publications when they are reading	people cannot catch the errors in publications when they are reading	1	In highly respected publications there are numerous errors	People are getting dumber	Are People Getting Dumber	Sometimes when you turn on the TV it hard not To wonder Is humanity devolving
4063639_595_A1HKYY6XI2OHO1	many books aren't digital now	most books are digital now And there really isn't much <unk> A job for librarians To do any more	0	Librarians have the ability To teach A special skill set To those who come To their buildings And they generally have the love <unk> their job To do just that	School librarians are not expendable	Are School Librarians Expendable	States And cities are under severe budget constraints They are turning To the library
10944652_774_AE861G0AY5RGT	patrons <unk> the banks don't pay off their debt on time	patrons <unk> the banks pay off their debt on time	0	There is A large rise <unk> debt feeding big banks	Big banks are out <unk> control	Are Big Banks Out <unk> Control	Does the lack <unk> legal compliance that have cost banks billions in fines show that some have gotten too big To manage properly
10224439_92_A1I4CYG5YDFTYM	people are responsible for controlling themselves And their finances this financial boost could do wonders for the economy	people are not responsible for controlling themselves And their finances this financial boost could not do wonders for the economy	1	Casino take advantage <unk> people And create nothing <unk> substance	Casinos are too much <unk> A gamble	Are Casinos Too Much <unk> A Gamble	Do the economic And fiscal benefits <unk> casinos outweigh their social And economic costs
11404235_276_A3TKD7EJ6BM0M5	overpopulation isn't really A problem	overpopulation is A real problem	0	Vaccinations save lives	Vaccination should be mandatory for all children	Making Vaccination Mandatory for All Children	Should parents no longer be allowed To get religious or philosophical exemptions from having their children immunized
10100991_0_AE861G0AY5RGT	high deductibles are needed in order To keep down the initial costs	high deductibles are not needed in order To keep down the initial costs	1	Obamacare used low rates as A shell game To hide high deductibles And co pays	Obamacare is not working	Is Obamacare Working	The law is starting To take effect Were the dire predictions correct or is it lowering costs And expanding access
12404722_129_A1I4CYG5YDFTYM	there aren't many minor violations that are silly And outdated And should be ignored	there are many minor violations that are silly And outdated And should be ignored	0	Enforcing minor violations sets the level <unk> civility that is To be expected in neighborhoods	Strictly enforcing minor violations deter more serious crime	Is Broken Windows A Broken Policy for Police	Does strictly enforcing minor violations deter more serious crime or simply harass And antagonize residents <unk> high crime neighborhoods
4264489_681_A247LJDZOGXJK6	their parents can't always enroll them in A deaf private school	their parents can enroll them in A deaf private school	0	Deaf students need more specialized education	States need special schools for the deaf	Do States Need Schools for the Deaf	A clash over whether children should be encouraged To sign at A separate school for the deaf or should attend mainstream schools
2700850_221_A104V8NZIQFN2F	those career paths are more than just being A liberal arts teacher or A hobo	those career paths are being A liberal arts teacher or A hobo	0	Liberal arts provide knowledge To learn creative thinking reading And writing which are important To many career paths	Colleges need humanities programs	Do Colleges Need French Departments	With humanities programs being cut at many universities what do students stand To lose
13659246_229_A104V8NZIQFN2F	terrorists also violate American laws for no reason	terrorists do not violate American laws for no reason	1	The CIA violates American laws for no reason	We don't need the <abbv>	Do We Need the <abbv>	Would the security needs <unk> the United States be better served if the agency were dismantled
6812570_454_A1CF6U3GF7DZEJ	the other players need To stay competitive	the other players don't need To stay competitive	0	Doping gives an unfair advantage To certain players which bothers me	Doping should not be allowed	Should Doping Be Allowed	It A constant scandal in cycling baseball And at the olympics Testing doesn't eliminate the drugs Should we just accept them
13320024_249_A104V8NZIQFN2F	strangers wouldn't be able To help your children with homework	strangers will help your children with homework	0	Children need an adult To help them learn good working habits And help with their frustration	Parents should help their children with homework	Whose Work Is Homework	Should parents help their children with homework Or do they end up doing more harm than good
4595363_428_A34QZDSTKZ3JO9	people can rest at night	people need To rest	1	Everyone needs plenty <unk> rest school should not interfere with that	School day should not be longer	Should the School Day Be Longer	While more time in the classroom may benefit children from disadvantaged backgrounds is it right for everyone
9177340_550_A1LZPWVZRTUZD0	genes are like DNA sequences that already exist	genes are not DNA sequences that already exist	0	Companies should not be able To patent DNA sequences that already exist	Companies shouldn't be allowed To patent genes	Can the Human Blueprint Have Owners	Should companies be allowed To patent genes
2699384_115_A1DJNUJZN8FE7N	A person can learn A little French without an entire class	A person can most easily learn A little French with A class	1	Learning just some French can help with <unk>	Colleges need humanities programs	Do Colleges Need French Departments	With humanities programs being cut at many universities what do students stand To lose
10396017_195_A1DJNUJZN8FE7N	those benefits outweigh the drawbacks	those benefits don't outweigh the drawbacks	0	Offering 6 years <unk> high school can aid in A better And more well rounded curriculum that will help lift students into well paying jobs	High school should last six years	Should High School Last Six Years	President Obama recently visited A six year high school highlighting it as A model for the rest <unk> the U.S. Should it be replicated
3234363_0_A1CF6U3GF7DZEJ	independence is really not valued in our corporate society	independence is highly valued in our corporate society	1	Extreme parenting limits A child ability To be independent	Extreme parenting is counterproductive	Is Extreme Parenting Effective	Does strict control <unk> A child life lead To greater success or can it be counterproductive
5447530_253_AJNQ2PBD07FKE	internships aren't very useful with education	all internships are very useful with education	0	There are other ways To get your foot in the door besides unpaid internships	Unpaid internship exploit college students	Do Unpaid Internships Exploit College Students	Should the government get tough To protect unpaid interns or are internships A win win
3651490_320_A3GNQDFPZALU92	these issues ate not bound To be addressed at some future point at that point I'll say	these issues ate bound To be addressed at some future point at that point I'll say	0	I found online courses To not be well designed flexible or conducive To discussion	Online classes are not the best way To teach	Can Young Students Learn From Online Classes	Online courses are increasingly common in high schools And middle schools Is this the best way To teach that age group
10951533_599_A104V8NZIQFN2F	Big Banks are serving A much bigger community with more rules	Big Banks are serving A much bigger community with less rules	1	Smaller banks are more likely To be rigorous in compliance with regulations as they are beholden To their community	Big banks are out <unk> control	Are Big Banks Out <unk> Control	Does the lack <unk> legal compliance that have cost banks billions in fines show that some have gotten too big To manage properly
11408927_12_A104V8NZIQFN2F	the enlightened And religious can not ethically infringe on others rights	the enlightened And religious can ethically infringe on others rights	0	Not vaccinating infringes on the rights <unk> others	Vaccination should be mandatory for all children	Making Vaccination Mandatory for All Children	Should parents no longer be allowed To get religious or philosophical exemptions from having their children immunized
2700020_649_A1DJNUJZN8FE7N	the best way To do that is To travel	To travel is not necessarily the best way To do that	1	Understanding other culture is more important now than ever before	Colleges need humanities programs	Do Colleges Need French Departments	With humanities programs being cut at many universities what do students stand To lose
13659246_365_A1I4CYG5YDFTYM	those enemies aren't criminals And are not wishing To do harm To American people	those enemies are often criminals And those wishing To do harm To American people	0	The CIA creates more enemies for the US through it actions	We don't need the <abbv>	Do We Need the <abbv>	Would the security needs <unk> the United States be better served if the agency were dismantled
3649836_172_A1HKYY6XI2OHO1	computers can be programmed at the factory To adapt	computers can be programmed at the factory without needing To adapt	0	A computer is able To adapt To individual learning pace And needs	Online classes are the best way To teach	Can Young Students Learn From Online Classes	Online courses are increasingly common in high schools And middle schools Is this the best way To teach that age group
7950152_435_A1CF6U3GF7DZEJ	people can function without learning	people can't function without learning	1	Libraries provide for lifelong learning	We need libraries	Do We Still Need Libraries	What are libraries for And how should they evolve
4839122_716_A104V8NZIQFN2F	mandatory voting will force society as A whole To educate more people	mandatory voting will force society as A whole To coerce more people	1	Politicians are criticized for pandering To unintelligent voters so it makes no sense To demand that A larger number <unk> such people be forced To vote	Voting should not be mandatory	Should Voting Be Mandatory	Or are there already too many people casting ballots
11408162_344_A1DJNUJZN8FE7N	that personal choice has To be the best for the child legally	that personal choice won't always be best for the child legally	1	Vaccination should remain A personal choice	Vaccination should not be mandatory for all children	Making Vaccination Mandatory for All Children	Should parents no longer be allowed To get religious or philosophical exemptions from having their children immunized
2326100_375_APQU1QQ738JV9	the government does not have the right To control the internet	the government has the right To control the internet	1	We want the US To regulate so people will not be exploited	Internet gambling should be legalized	Should Internet Gambling Be Legalized	The potential boon for cash strapped states versus the social costs associated with addiction
2700862_178_AE861G0AY5RGT	college is about job preparation And not complex intellectual ecosystems	college is about complex intellectual ecosystems And not job preparation	1	We should support humanities programs To create A intellectual ecosystem that is complex And evolved	Colleges need humanities programs	Do Colleges Need French Departments	With humanities programs being cut at many universities what do students stand To lose
4592432_277_A2GHGJP29KRWOQ	Schools could incorporate down time And fun into A longer day	Schools can't incorporate down time And fun in A longer day	1	Children need down time To have fun And be young	School day should not be longer	Should the School Day Be Longer	While more time in the classroom may benefit children from disadvantaged backgrounds is it right for everyone
4803078_343_APW9F8OTJ4KXO	the rest <unk> the EU can't restructure enough To strengthen the union enough To withstand A struggle	the rest <unk> the EU is restructuring To strengthen the union enough To withstand A struggle	0	Greece cannot support its own economy And is bringing the Euro down	Greece will destroy the Euro Zone	Will Greece Destroy the Euro Zone	The collapse <unk> the Papandreou government may undo European efforts To restructure debt And hold the union together
